 # Format: X (mm), Y (mm), Z (mm), t (s), Amplitude(nA), Phase(rad) 
 # Modulation ouput amplitude (V): 0.89996337890625 
 # Modulation output offset (V): -0.4001342937370284 
 # Grid: 13 x 13 
 # Frequency: 520 GHz 

3.000000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00 4.698574730008840561e+01 4.274334886841560377e-02 6.219183444976806641e+00
3.000000000000000000e+01 3.000000000000000000e+01 1.442307692307692180e-01 4.893641930003650486e+01 9.850535372441465709e-02 5.133784294128417969e+00
2.500000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00 5.328979200008325279e+01 5.309282256128040889e-02 4.471019744873046875e+00
2.500000000000000000e+01 3.000000000000000000e+01 1.442307692307692180e-01 5.513248419994488358e+01 8.800137341798593138e-02 4.888400554656982422e+00
2.000000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00 5.943750170012935996e+01 4.775997557303388735e-02 2.878234148025512695e+00
2.000000000000000000e+01 3.000000000000000000e+01 1.442307692307692180e-01 6.154784170002676547e+01 7.601939807610699762e-02 5.649423599243164062e+00
1.500000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00 6.612808470008894801e+01 4.117141129840588831e-02 8.817050457000732422e-01
1.500000000000000000e+01 3.000000000000000000e+01 1.442307692307692180e-01 6.808718720008619130e+01 1.165011560784257744e-01 2.611538410186767578e+00
1.000000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00 7.256920569995418191e+01 7.878274614499373996e-02 3.745513916015625000e+00
1.000000000000000000e+01 3.000000000000000000e+01 1.442307692307692180e-01 7.452465429995208979e+01 4.814642262786174992e-02 5.905494689941406250e+00
5.000000000000000000e+00 3.000000000000000000e+01 0.000000000000000000e+00 7.895521940011531115e+01 1.996338665555936753e-01 2.775155901908874512e-01
5.000000000000000000e+00 3.000000000000000000e+01 1.442307692307692180e-01 8.099245289992541075e+01 1.943419743893724516e-01 5.835004806518554688e+00
-0.000000000000000000e+00 3.000000000000000000e+01 0.000000000000000000e+00 8.548142570001073182e+01 5.364474253093993311e-02 4.702959060668945312e+00
-0.000000000000000000e+00 3.000000000000000000e+01 1.442307692307692180e-01 8.743037219997495413e+01 1.619669726069057070e-01 5.370314598083496094e+00
-5.000000000000000000e+00 3.000000000000000000e+01 0.000000000000000000e+00 9.188922320003621280e+01 6.521779803072356996e-02 7.879465818405151367e-02
-5.000000000000000000e+00 3.000000000000000000e+01 1.442307692307692180e-01 9.393846890004351735e+01 7.051848197906193660e-02 2.176990985870361328e+00
-1.000000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00 9.832472030003555119e+01 1.634098170501546987e-01 4.021093368530273438e+00
-1.000000000000000000e+01 3.000000000000000000e+01 1.442307692307692180e-01 1.001323913999367505e+02 5.579482107846574224e-02 9.548442959785461426e-01
-1.500000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00 1.043791493000462651e+02 7.378787841210424081e-02 3.272083282470703125e+00
-1.500000000000000000e+01 3.000000000000000000e+01 1.442307692307692180e-01 1.063248684001155198e+02 7.250248679404401597e-02 3.698985099792480469e+00
-2.000000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00 1.106154833000618964e+02 4.323399921166569404e-02 5.138115882873535156e+00
-2.000000000000000000e+01 3.000000000000000000e+01 1.442307692307692180e-01 1.126228600000031292e+02 1.169662882051797498e-01 1.818748474121093750e+00
-2.500000000000000000e+01 3.000000000000000000e+01 0.000000000000000000e+00 1.169570392000023276e+02 1.302511505359275901e-01 1.579016685485839844e+00
-2.500000000000000000e+01 3.000000000000000000e+01 1.442307692307692180e-01 1.188132694000378251e+02 7.780540313846855127e-02 3.922738790512084961e+00
